step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.55035297870636,14049.654296875,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble,512,expectation
20,1,8.77551422715187,6473.7744140625,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble,512,expectation
30,1,8.291099035739899,3988.213134765625,,,,,,,,,,,5.675e-05,fair,random_scramble,512,expectation
40,1,7.920251888036728,2752.464111328125,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble,512,expectation
50,1,7.66420134305954,2130.690185546875,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble,512,expectation
60,1,7.561909490823746,1923.5152587890625,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble,512,expectation
70,1,7.517514517903328,1839.9886474609375,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble,512,expectation
80,1,7.511712238192558,1829.3427734375,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble,512,expectation
90,1,7.4912109762430195,1792.2210693359375,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble,512,expectation
100,1,7.479748025536537,1771.794677734375,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble,512,expectation
