step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.548512029647828,14023.818359375,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble,614,upper_bound
20,1,8.768338590860367,6427.482421875,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble,614,upper_bound
30,1,8.286356377601624,3969.343505859375,,,,,,,,,,,5.675e-05,fair,random_scramble,614,upper_bound
40,1,7.9105926841497425,2726.00537109375,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble,614,upper_bound
