step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode
10,1,9.521911984682083,13655.6904296875,,,,,,,,,,,5.2249999999999996e-05,fair,temporal
20,1,8.725492191314697,6157.90869140625,,,,,,,,,,,5.449999999999998e-05,fair,temporal
30,1,8.139551135897637,3427.379150390625,,,,,,,,,,,5.675e-05,fair,temporal
40,1,7.608912107348442,2016.0833740234375,,,,,,,,,,,5.900000000000001e-05,fair,temporal
50,1,7.300556895136833,1481.1241455078125,,,,,,,,,,,6.125000000000001e-05,fair,temporal
60,1,7.158049151301384,1284.4027099609375,,,,,,,,,,,6.350000000000001e-05,fair,temporal
70,1,7.058699125051499,1162.931396484375,,,,,,,,,,,6.575000000000001e-05,fair,temporal
80,1,6.971918684244156,1066.2664794921875,,,,,,,,,,,6.800000000000003e-05,fair,temporal
90,1,6.87713138461113,969.84033203125,,,,,,,,,,,7.025000000000004e-05,fair,temporal
100,1,6.778061407804489,878.3642578125,,,,,,,,,,,7.250000000000001e-05,fair,temporal
100,1,,,6.662203979492188,782.2731525514358,6.64742389413149,770.7961133211564,6.689601998733388,804.0021945647502,6.650099413222381,772.8611543339924,6.648927693473242,771.9561079900016,7.250000000000001e-05,fair,temporal
110,1,6.714599519968033,824.3536376953125,,,,,,,,,,,7.475000000000004e-05,fair,temporal
120,1,6.636550343036651,762.4602661132812,,,,,,,,,,,7.700000000000001e-05,fair,temporal
130,1,6.5485179215669636,698.2084350585938,,,,,,,,,,,7.925000000000003e-05,fair,temporal
140,1,6.489328017830848,658.0809326171875,,,,,,,,,,,8.150000000000006e-05,fair,temporal
150,1,6.405963432788849,605.44482421875,,,,,,,,,,,8.37500000000001e-05,fair,temporal
160,1,6.327759858965874,559.90087890625,,,,,,,,,,,8.60000000000001e-05,fair,temporal
170,1,6.255916485190392,521.0867919921875,,,,,,,,,,,8.825000000000011e-05,fair,temporal
180,1,6.211484870314598,498.4408264160156,,,,,,,,,,,9.050000000000011e-05,fair,temporal
190,1,6.1684353172779085,477.4383850097656,,,,,,,,,,,9.275000000000013e-05,fair,temporal
200,1,6.078375878930092,436.3199462890625,,,,,,,,,,,9.50000000000001e-05,fair,temporal
200,1,,,5.9869636535644535,398.2036881193407,5.969627531991179,391.35987456615464,5.98074257315086,395.7341206083264,5.9719161727743675,392.25658246572124,5.959325750209501,387.34886627918047,9.50000000000001e-05,fair,temporal
210,1,6.061251389980316,428.9117431640625,,,,,,,,,,,9.725000000000009e-05,fair,temporal
220,1,5.998337137699127,402.758544921875,,,,,,,,,,,9.950000000000009e-05,fair,temporal
230,1,5.959153780341149,387.2821960449219,,,,,,,,,,,0.00010175000000000007,fair,temporal
240,1,5.9061193525791165,367.2781066894531,,,,,,,,,,,0.00010400000000000005,fair,temporal
250,1,5.86884716451168,353.8409118652344,,,,,,,,,,,0.00010625000000000002,fair,temporal
260,1,5.833833241462708,341.6658630371094,,,,,,,,,,,0.00010850000000000006,fair,temporal
