step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode
10,1,9.944888263940811,20845.390625,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble
20,1,9.212007576227188,10016.685546875,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble
30,1,8.785785907506943,6540.60986328125,,,,,,,,,,,5.675e-05,fair,random_scramble
40,1,8.38595633506775,4385.05224609375,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble
50,1,8.046737140417099,3123.585205078125,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble
60,1,7.785331130027771,2405.062744140625,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble
70,1,7.622319468855858,2043.2965087890625,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble
80,1,7.539385959506035,1880.674560546875,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble
90,1,7.506174984574318,1819.24169921875,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble
100,1,7.492444959282875,1794.43408203125,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble
100,1,,,7.515974855422973,1837.1575666289807,7.512125915839279,1830.1000488417874,7.481247932639496,1774.4537936027978,7.51218761286638,1830.2129640573282,7.48129966614751,1774.5455946969262,7.250000000000001e-05,fair,random_scramble
110,1,7.488254290819168,1786.9295654296875,,,,,,,,,,,7.475000000000004e-05,fair,random_scramble
120,1,7.483116179704666,1777.77197265625,,,,,,,,,,,7.700000000000001e-05,fair,random_scramble
130,1,7.472053754329681,1758.2135009765625,,,,,,,,,,,7.925000000000003e-05,fair,random_scramble
140,1,7.463541889190674,1743.3118896484375,,,,,,,,,,,8.150000000000006e-05,fair,random_scramble
150,1,7.451618227362633,1722.6484375,,,,,,,,,,,8.37500000000001e-05,fair,random_scramble
160,1,7.439979574084282,1702.7154541015625,,,,,,,,,,,8.60000000000001e-05,fair,random_scramble
170,1,7.428452417254448,1683.2008056640625,,,,,,,,,,,8.825000000000011e-05,fair,random_scramble
