step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.917125427722931,20274.630859375,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble,614,upper_bound
20,1,9.225960218906403,10157.419921875,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble,614,upper_bound
30,1,8.797912836074829,6620.41015625,,,,,,,,,,,5.675e-05,fair,random_scramble,614,upper_bound
40,1,8.41479886174202,4513.3671875,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble,614,upper_bound
50,1,8.078291073441505,3223.718994140625,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble,614,upper_bound
60,1,7.826174765825272,2505.327392578125,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble,614,upper_bound
70,1,7.641170638799667,2082.1796875,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble,614,upper_bound
80,1,7.559468975663185,1918.8258056640625,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble,614,upper_bound
90,1,7.515540906786919,1836.36083984375,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble,614,upper_bound
100,1,7.498131927847862,1804.667724609375,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble,614,upper_bound
