step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode
10,1,9.537675362825393,13872.6552734375,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble
20,1,8.756365603208542,6350.98876953125,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble
30,1,8.269778156280518,3904.083251953125,,,,,,,,,,,5.675e-05,fair,random_scramble
40,1,7.898676460981369,2693.714599609375,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble
50,1,7.642610317468643,2085.18017578125,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble
60,1,7.541211691498757,1884.1114501953125,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble
70,1,7.504247817397117,1815.73876953125,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble
80,1,7.493527013063431,1796.3765869140625,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble
90,1,7.469898808002472,1754.428955078125,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble
100,1,7.456385624408722,1730.880615234375,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble
100,1,,,7.4881922721862795,1786.8190879651743,7.475388566251199,1764.0870197097022,7.427526675672683,1681.643176559163,7.478166548679727,1768.9944356545286,7.4329095313106,1690.7196257048631,7.250000000000001e-05,fair,random_scramble
110,1,7.452503710985184,1724.174560546875,,,,,,,,,,,7.475000000000004e-05,fair,random_scramble
120,1,7.4500050961971285,1719.871826171875,,,,,,,,,,,7.700000000000001e-05,fair,random_scramble
130,1,7.426325339078903,1679.6241455078125,,,,,,,,,,,7.925000000000003e-05,fair,random_scramble
140,1,7.42305880188942,1674.1468505859375,,,,,,,,,,,8.150000000000006e-05,fair,random_scramble
150,1,7.407345873117447,1648.0462646484375,,,,,,,,,,,8.37500000000001e-05,fair,random_scramble
160,1,7.388729187846184,1617.64892578125,,,,,,,,,,,8.60000000000001e-05,fair,random_scramble
170,1,7.369843539595604,1587.38525390625,,,,,,,,,,,8.825000000000011e-05,fair,random_scramble
180,1,7.359921339154243,1571.713134765625,,,,,,,,,,,9.050000000000011e-05,fair,random_scramble
190,1,7.359366622567177,1570.8409423828125,,,,,,,,,,,9.275000000000013e-05,fair,random_scramble
200,1,7.322323644161225,1513.7174072265625,,,,,,,,,,,9.50000000000001e-05,fair,random_scramble
200,1,,,7.367317628860474,1583.3808665049842,7.369495362554924,1586.8328057070344,7.301320743665024,1482.2563159956508,7.373959378996601,1593.9322877546572,7.305129795279566,1487.9130734103098,9.50000000000001e-05,fair,random_scramble
210,1,7.334499010443688,1532.259765625,,,,,,,,,,,9.725000000000009e-05,fair,random_scramble
220,1,7.313927465677262,1501.061279296875,,,,,,,,,,,9.950000000000009e-05,fair,random_scramble
230,1,7.313534674048424,1500.4715576171875,,,,,,,,,,,0.00010175000000000007,fair,random_scramble
240,1,7.301727095246315,1482.8590087890625,,,,,,,,,,,0.00010400000000000005,fair,random_scramble
250,1,7.281132632493973,1452.6324462890625,,,,,,,,,,,0.00010625000000000002,fair,random_scramble
260,1,7.273682856559754,1441.85107421875,,,,,,,,,,,0.00010850000000000006,fair,random_scramble
270,1,7.26646725833416,1431.4842529296875,,,,,,,,,,,0.00011075000000000004,fair,random_scramble
280,1,7.251001390814781,1409.515625,,,,,,,,,,,0.00011300000000000001,fair,random_scramble
290,1,7.24043545126915,1394.701416015625,,,,,,,,,,,0.00011525000000000004,fair,random_scramble
300,1,7.233809098601341,1385.48974609375,,,,,,,,,,,0.00011750000000000004,fair,random_scramble
300,1,,,7.255523061752319,1415.9034143923043,7.255410980384227,1415.7447268936546,7.19421183299601,1331.700309604187,7.259467263311934,1421.499050752297,7.197602050504176,1336.222724963743,0.00011750000000000004,fair,random_scramble
310,1,7.221926507353783,1369.1243896484375,,,,,,,,,,,0.00011975000000000002,fair,random_scramble
320,1,7.212835904955864,1356.7342529296875,,,,,,,,,,,0.00012200000000000002,fair,random_scramble
330,1,7.222039380669594,1369.2784423828125,,,,,,,,,,,0.00012425000000000007,fair,random_scramble
340,1,7.196702420711517,1335.021240234375,,,,,,,,,,,0.00012650000000000007,fair,random_scramble
350,1,7.200644597411156,1340.2943115234375,,,,,,,,,,,0.00012875000000000007,fair,random_scramble
360,1,7.196146297454834,1334.2791748046875,,,,,,,,,,,0.00013100000000000004,fair,random_scramble
370,1,7.176693937182426,1308.5748291015625,,,,,,,,,,,0.00013325000000000004,fair,random_scramble
380,1,7.182878574728965,1316.69287109375,,,,,,,,,,,0.00013550000000000004,fair,random_scramble
390,1,7.164820384979248,1293.1290283203125,,,,,,,,,,,0.00013775000000000007,fair,random_scramble
400,1,7.160768169164657,1287.899658203125,,,,,,,,,,,0.00014000000000000001,fair,random_scramble
400,1,,,7.200180625915527,1339.6727221537847,7.198073744016084,1336.853161228232,7.126039933877092,1243.9411111528839,7.199194795120772,1338.3526823042675,7.141645623033308,1263.5059336690251,0.00014000000000000001,fair,random_scramble
410,1,7.163286960124969,1291.148193359375,,,,,,,,,,,0.00014225000000000002,fair,random_scramble
420,1,7.154415962100029,1279.7449951171875,,,,,,,,,,,0.00014450000000000007,fair,random_scramble
430,1,7.133930060267448,1253.794921875,,,,,,,,,,,0.0001467500000000001,fair,random_scramble
440,1,7.127044603228569,1245.1915283203125,,,,,,,,,,,0.00014900000000000015,fair,random_scramble
450,1,7.120176994800568,1236.6690673828125,,,,,,,,,,,0.0001512500000000001,fair,random_scramble
460,1,7.126343724131584,1244.319091796875,,,,,,,,,,,0.00015350000000000015,fair,random_scramble
470,1,7.102220037579537,1214.66064453125,,,,,,,,,,,0.00015575000000000018,fair,random_scramble
480,1,7.103707623481751,1216.4691162109375,,,,,,,,,,,0.0001580000000000002,fair,random_scramble
490,1,7.118971335887909,1235.17919921875,,,,,,,,,,,0.00016025000000000024,fair,random_scramble
500,1,7.092438998818397,1202.838134765625,,,,,,,,,,,0.0001625000000000003,fair,random_scramble
500,1,,,7.150933742523193,1275.296197686398,7.15059996188666,1274.8705995419264,7.06261310320979,1167.4919602335983,7.1550947543967505,1280.6137758879051,7.080390297164699,1188.4322697481284,0.0001625000000000003,fair,random_scramble
510,1,7.107243230938911,1220.77734375,,,,,,,,,,,0.0001647500000000003,fair,random_scramble
520,1,7.082819393277168,1191.3226318359375,,,,,,,,,,,0.0001670000000000003,fair,random_scramble
530,1,7.088820672035217,1198.4932861328125,,,,,,,,,,,0.00016925000000000027,fair,random_scramble
540,1,7.087328863143921,1196.70703125,,,,,,,,,,,0.00017150000000000027,fair,random_scramble
550,1,7.081272026896476,1189.480712890625,,,,,,,,,,,0.00017375000000000027,fair,random_scramble
560,1,7.077488136291504,1184.988037109375,,,,,,,,,,,0.00017600000000000027,fair,random_scramble
570,1,7.061624509096146,1166.33837890625,,,,,,,,,,,0.00017825000000000024,fair,random_scramble
580,1,7.043084201216698,1144.9132080078125,,,,,,,,,,,0.0001805000000000003,fair,random_scramble
590,1,7.0457651019096375,1147.986572265625,,,,,,,,,,,0.00018275000000000032,fair,random_scramble
600,1,7.044642677903175,1146.69873046875,,,,,,,,,,,0.00018500000000000043,fair,random_scramble
600,1,,,7.109108734130859,1223.0569912244698,7.0937558251847666,1204.422918236415,6.984678893067655,1079.959579541755,7.103183590093832,1215.8316291799747,7.020753285863285,1119.629701391297,0.00018500000000000043,fair,random_scramble
610,1,7.033183142542839,1133.63330078125,,,,,,,,,,,0.0001872500000000004,fair,random_scramble
620,1,7.021934708952903,1120.9530029296875,,,,,,,,,,,0.00018950000000000043,fair,random_scramble
630,1,7.013005113601684,1110.98828125,,,,,,,,,,,0.00019175000000000046,fair,random_scramble
640,1,7.0079688966274265,1105.406982421875,,,,,,,,,,,0.00019400000000000046,fair,random_scramble
650,1,7.006433922052383,1103.7115478515625,,,,,,,,,,,0.00019625000000000054,fair,random_scramble
660,1,7.006961518526078,1104.2938232421875,,,,,,,,,,,0.00019850000000000054,fair,random_scramble
670,1,6.994220829010009,1090.313720703125,,,,,,,,,,,0.00020075000000000062,fair,random_scramble
680,1,6.9827082514762875,1077.8336181640625,,,,,,,,,,,0.0002030000000000006,fair,random_scramble
690,1,6.974582287669182,1069.1104736328125,,,,,,,,,,,0.00020525000000000063,fair,random_scramble
700,1,6.958883574604988,1052.4581298828125,,,,,,,,,,,0.00020750000000000063,fair,random_scramble
700,1,,,7.041848087310791,1143.4989409456275,7.013611837991056,1111.6624071121566,6.917907928010071,1010.2043620288928,7.020364975944027,1119.1950224728803,6.966015235759171,1059.9905116147086,0.00020750000000000063,fair,random_scramble
710,1,6.958832350373268,1052.4039306640625,,,,,,,,,,,0.0002097500000000006,fair,random_scramble
720,1,6.955405795574189,1048.803955078125,,,,,,,,,,,0.00021200000000000065,fair,random_scramble
730,1,6.927743664383888,1020.1892700195312,,,,,,,,,,,0.0002142500000000007,fair,random_scramble
740,1,6.931273248791695,1023.7969360351562,,,,,,,,,,,0.00021650000000000074,fair,random_scramble
750,1,6.9313005894422535,1023.8247680664062,,,,,,,,,,,0.00021875000000000082,fair,random_scramble
760,1,6.92545659840107,1017.8588256835938,,,,,,,,,,,0.00022100000000000076,fair,random_scramble
770,1,6.906670612096787,998.9158935546875,,,,,,,,,,,0.00022325000000000074,fair,random_scramble
780,1,6.911167842149735,1003.4181518554688,,,,,,,,,,,0.00022550000000000074,fair,random_scramble
790,1,6.911390581727028,1003.64208984375,,,,,,,,,,,0.0002277500000000007,fair,random_scramble
800,1,6.898368656635284,990.657470703125,,,,,,,,,,,0.00023000000000000068,fair,random_scramble
800,1,,,6.990717077255249,1086.50030156764,6.97049521187241,1064.7498967928154,6.844451024226978,938.657839127478,6.976194469069781,1070.8355055578063,6.904831497314712,997.0804884195796,0.00023000000000000068,fair,random_scramble
810,1,6.890095269680023,982.4949951171875,,,,,,,,,,,0.00023225000000000074,fair,random_scramble
820,1,6.89901502430439,991.2977294921875,,,,,,,,,,,0.0002345000000000007,fair,random_scramble
830,1,6.883075132966042,975.6220092773438,,,,,,,,,,,0.0002367500000000007,fair,random_scramble
840,1,6.887171950936318,979.6268310546875,,,,,,,,,,,0.0002390000000000006,fair,random_scramble
850,1,6.886407023668289,978.8778686523438,,,,,,,,,,,0.0002412500000000006,fair,random_scramble
860,1,6.8644459545612335,957.6153564453125,,,,,,,,,,,0.0002435000000000006,fair,random_scramble
870,1,6.872461706399918,965.3220825195312,,,,,,,,,,,0.00024575000000000063,fair,random_scramble
880,1,6.864253750443458,957.4308471679688,,,,,,,,,,,0.0002480000000000006,fair,random_scramble
890,1,6.865638121962547,958.757568359375,,,,,,,,,,,0.00025025000000000063,fair,random_scramble
900,1,6.866637128591537,959.7158203125,,,,,,,,,,,0.00025250000000000045,fair,random_scramble
900,1,,,6.93363618850708,1026.2187283200906,6.909282685997036,1001.5285740951202,6.802191041349277,899.8166688973912,6.920980059149022,1013.312614340906,6.861800071994486,955.0847423552395,0.00025250000000000045,fair,random_scramble
910,2,6.845385778963176,939.5354614257812,,,,,,,,,,,0.0002547500000000004,fair,random_scramble
920,2,6.842218196392059,936.5645141601562,,,,,,,,,,,0.0002570000000000005,fair,random_scramble
930,2,6.842364549636841,936.701171875,,,,,,,,,,,0.00025925000000000053,fair,random_scramble
940,2,6.831175267696381,926.2788696289062,,,,,,,,,,,0.00026150000000000066,fair,random_scramble
950,2,6.812724620103836,909.3450317382812,,,,,,,,,,,0.00026375000000000064,fair,random_scramble
960,2,6.815164589881897,911.5665283203125,,,,,,,,,,,0.0002660000000000007,fair,random_scramble
970,2,6.822880774736404,918.6275634765625,,,,,,,,,,,0.0002682500000000007,fair,random_scramble
980,2,6.829554989933968,924.7792358398438,,,,,,,,,,,0.00027050000000000067,fair,random_scramble
990,2,6.802228036522865,899.8499145507812,,,,,,,,,,,0.00027275000000000064,fair,random_scramble
1000,2,6.814498588442802,910.95947265625,,,,,,,,,,,0.0002750000000000006,fair,random_scramble
1000,2,,,6.892166376113892,984.5319751444155,6.863326888890562,956.544095676206,6.785555803785943,884.9718209671719,6.870898478708735,963.8141433892856,6.8176958555453275,913.8768779527717,0.0002750000000000006,fair,random_scramble
1010,2,6.815751281380654,912.101318359375,,,,,,,,,,,0.0002772500000000007,fair,random_scramble
1020,2,6.809333142638207,906.2664184570312,,,,,,,,,,,0.0002795000000000007,fair,random_scramble
1030,2,6.8104458302259445,907.275146484375,,,,,,,,,,,0.0002817500000000007,fair,random_scramble
1040,2,6.802490943670273,900.0863647460938,,,,,,,,,,,0.0002840000000000007,fair,random_scramble
1050,2,6.787479534745216,886.67578125,,,,,,,,,,,0.00028625000000000064,fair,random_scramble
1060,2,6.77397338449955,874.7808837890625,,,,,,,,,,,0.0002885000000000005,fair,random_scramble
1070,2,6.786565515398979,885.8656616210938,,,,,,,,,,,0.0002907500000000004,fair,random_scramble
1080,2,6.799037313461303,896.9835205078125,,,,,,,,,,,0.0002930000000000004,fair,random_scramble
1090,2,6.769738981127739,871.0846557617188,,,,,,,,,,,0.00029525000000000026,fair,random_scramble
1100,2,6.774905499815941,875.5968017578125,,,,,,,,,,,0.0002975000000000003,fair,random_scramble
1100,2,,,6.8740396976470945,966.8464547130549,6.841354728215599,935.755971443168,6.739958163267971,845.525361093104,6.852096559291786,945.8618848502778,6.800475635267073,898.2744410623824,0.0002975000000000003,fair,random_scramble
1110,2,6.784606215357781,884.1316528320312,,,,,,,,,,,0.00029975000000000027,fair,random_scramble
1120,2,6.7660888731479645,867.9108276367188,,,,,,,,,,,0.00030200000000000035,fair,random_scramble
1130,2,6.761300146579742,863.7644653320312,,,,,,,,,,,0.0003042500000000003,fair,random_scramble
1140,2,6.778690427541733,878.9168701171875,,,,,,,,,,,0.00030650000000000024,fair,random_scramble
1150,2,6.772676917910576,873.6474609375,,,,,,,,,,,0.00030875000000000027,fair,random_scramble
1160,2,6.764334666728973,866.3895874023438,,,,,,,,,,,0.00031100000000000024,fair,random_scramble
1170,2,6.762293669581413,864.6232299804688,,,,,,,,,,,0.0003132500000000004,fair,random_scramble
1180,2,6.766611158847809,868.3640747070312,,,,,,,,,,,0.0003155000000000002,fair,random_scramble
1190,2,6.738504332304001,844.2970581054688,,,,,,,,,,,0.0003177500000000002,fair,random_scramble
1200,2,6.736519476771354,842.6227416992188,,,,,,,,,,,0.00032000000000000013,fair,random_scramble
1200,2,,,6.864726305007935,957.8836359692018,6.812001549440466,908.6877714693604,6.69336445859424,807.0329184630757,6.831043068145674,926.1563530189744,6.784304365460757,883.8650260009692,0.00032000000000000013,fair,random_scramble
1210,2,6.723007801175117,831.3140869140625,,,,,,,,,,,0.00032225000000000016,fair,random_scramble
1220,2,6.7435752034187315,848.589111328125,,,,,,,,,,,0.00032450000000000024,fair,random_scramble
1230,2,6.744968685507774,849.772705078125,,,,,,,,,,,0.0003267500000000003,fair,random_scramble
1240,2,6.728194910287857,835.6373291015625,,,,,,,,,,,0.00032900000000000035,fair,random_scramble
1250,2,6.748828792572022,853.0591430664062,,,,,,,,,,,0.00033125000000000027,fair,random_scramble
1260,2,6.735511147975922,841.7738037109375,,,,,,,,,,,0.0003335000000000002,fair,random_scramble
1270,2,6.7381604462862015,844.0068359375,,,,,,,,,,,0.00033575000000000017,fair,random_scramble
1280,2,6.719682401418686,828.55419921875,,,,,,,,,,,0.0003380000000000003,fair,random_scramble
1290,2,6.711352294683456,821.6810913085938,,,,,,,,,,,0.0003402500000000002,fair,random_scramble
