step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.51139417886734,13512.8251953125,,,,,,,,,,,5.2249999999999996e-05,fair,temporal,204,expectation
20,1,8.7010999917984,6009.52099609375,,,,,,,,,,,5.449999999999998e-05,fair,temporal,204,expectation
30,1,8.044946700334549,3117.998779296875,,,,,,,,,,,5.675e-05,fair,temporal,204,expectation
40,1,7.57899161875248,1956.654541015625,,,,,,,,,,,5.900000000000001e-05,fair,temporal,204,expectation
50,1,7.286503955721855,1460.4556884765625,,,,,,,,,,,6.125000000000001e-05,fair,temporal,204,expectation
60,1,7.13959724009037,1260.920654296875,,,,,,,,,,,6.350000000000001e-05,fair,temporal,204,expectation
70,1,7.037653973698616,1138.7130126953125,,,,,,,,,,,6.575000000000001e-05,fair,temporal,204,expectation
80,1,6.952213287353516,1045.4610595703125,,,,,,,,,,,6.800000000000003e-05,fair,temporal,204,expectation
90,1,6.858968004584312,952.3834838867188,,,,,,,,,,,7.025000000000004e-05,fair,temporal,204,expectation
100,1,6.763206470012665,865.4126586914062,,,,,,,,,,,7.250000000000001e-05,fair,temporal,204,expectation
