step,epoch,train_loss,train_perplexity,val_loss,val_perplexity,learning_rate,grad_norm,time_elapsed_seconds,tokens_per_second
10,1,33.06162504926324,228287393562624.0,,,5.2249999999999996e-05,0.7206947803497314,175.27714157104492,65670.9413413884
20,1,11.070068094879389,64219.8984375,,,5.449999999999998e-05,0.3393194079399109,193.8728311061859,70505.44577637089
30,1,9.52627072520554,13715.349609375,,,5.675e-05,0.24241217970848083,212.50531101226807,70361.19155107395
40,1,9.05150416623801,8531.3603515625,,,5.900000000000001e-05,0.15902426838874817,231.008864402771,70851.89561040193
50,1,9.22520840242505,10149.7900390625,,,6.125000000000001e-05,0.15612611174583435,249.5405774116516,70743.42854069207
60,1,8.863423844613134,7068.646484375,,,6.350000000000001e-05,0.11994416266679764,268.1764271259308,70349.24899378284
70,1,8.458273828029633,4713.9140625,,,6.575000000000001e-05,0.10040965676307678,286.665381193161,70907.95229892242
80,1,7.765602012723685,2358.077880859375,,,6.800000000000003e-05,0.08197972178459167,305.1788158416748,70814.10758326121
90,1,7.87898426419124,2641.18896484375,,,7.025000000000004e-05,0.08197106420993805,323.65717792510986,70948.64411225272
100,1,7.457722832262516,1733.196533203125,,,7.250000000000001e-05,0.06636547297239304,342.1705982685089,70814.33379899626
110,1,7.591832654550672,1981.9423828125,,,7.475000000000004e-05,0.06763986498117447,360.659814119339,70906.9645700186
120,1,7.203545881109312,1344.1888427734375,,,7.700000000000001e-05,0.05823058262467384,379.15047907829285,70902.0940056515
130,1,7.153570426255465,1278.6634521484375,,,7.925000000000003e-05,0.050853680819272995,397.62928104400635,70946.59683040156
140,1,7.081290883664042,1189.5028076171875,,,8.150000000000006e-05,0.050181228667497635,416.0960650444031,70993.41626972651
150,1,7.354076427035034,1562.5531005859375,,,8.37500000000001e-05,0.050427913665771484,434.5884850025177,70894.63856477189
160,1,7.211750857532024,1355.26318359375,,,8.60000000000001e-05,0.048004310578107834,453.07687163352966,70910.6750978299
170,1,7.3452515985816715,1548.8245849609375,,,8.825000000000011e-05,0.046734992414712906,471.6357207298279,70640.06169128264
